종목코드,회사명
035290.KS,골드앤에스
036120.KS,서울평가정보
027040.KS,서울전자통신
027830.KS,대성창투
036000.KS,예림당
007120.KS,미래아이앤지
035760.KS,CJ ENM
035810.KS,이지홀딩스
035460.KS,기산텔레콤
000850.KS,화천기공
036580.KS,팜스코
033780.KS,케이티앤지
009540.KS,HD한국조선해양
024090.KS,디씨엠
035620.KS,바른손이앤에이
035610.KS,솔본
020710.KS,시공테크
012790.KS,신일제약
034940.KS,조아제약
006840.KS,AK홀딩스
035000.KS,HS애드
006650.KS,대한유화
035150.KS,백산
033250.KS,체시스
033230.KS,인성정보
035080.KS,그래디언트
005160.KS,동국산업
005990.KS,매일홀딩스
034810.KS,해성산업
033240.KS,자화전자
030200.KS,케이티
019490.KS,엑시큐어하이트론
030000.KS,제일기획
025770.KS,한국정보통신
033540.KS,파라텍
033500.KS,동성화인텍
026890.KS,스틱인베스트먼트
029460.KS,케이씨
030350.KS,드래곤플라이
033160.KS,엠케이전자
033310.KS,엠투엔
033320.KS,제이씨현시스템
009520.KS,포스코엠텍
013810.KS,스페코
033340.KS,좋은사람들
024890.KS,대원화성
033200.KS,모아텍
033290.KS,코웰패션
015710.KS,코콤
017940.KS,E1
018670.KS,SK가스
023590.KS,다우기술
014440.KS,영보화학
033100.KS,제룡전기
033050.KS,제이엠아이
033130.KS,디지틀조선
032980.KS,바이온
019210.KS,와이지-원
026150.KS,특수건설
031310.KS,아이즈비전
011790.KS,SKC
032960.KS,동일기연
032680.KS,소프트센
032940.KS,원익
008290.KS,원풍물산
010600.KS,웰바이오텍
025890.KS,한국주강
032750.KS,삼진
032860.KS,더라미
032850.KS,비트컴퓨터
032790.KS,엠젠솔루션
032800.KS,판타지오
024900.KS,디와이덕양
023960.KS,에쓰씨엔지니어링
023800.KS,인지컨트롤스
032620.KS,유비케어
032580.KS,피델릭스
032540.KS,TJ미디어
028080.KS,휴맥스홀딩스
032280.KS,삼일
012320.KS,경동인베스트
012340.KS,뉴인텍
031820.KS,아이티센씨티에스
025530.KS,에스제이엠홀딩스
031510.KS,오스템
031860.KS,디에이치엑스컴퍼니
031980.KS,피에스케이홀딩스
000660.KS,SK하이닉스
015360.KS,INVENI
023150.KS,MH에탄올
023450.KS,동남합성
028050.KS,삼성E&A
029530.KS,신도리코
005320.KS,온타이드
016800.KS,퍼시스
011560.KS,세보엠이씨
024740.KS,한일단조
024070.KS,WISCOM
030720.KS,동원수산
025560.KS,미래산업
030210.KS,다올투자증권
030960.KS,양지사
012630.KS,HDC
017900.KS,광전자
025540.KS,한국단자공업
030530.KS,원익홀딩스
030520.KS,한글과컴퓨터
021880.KS,메이슨캐피탈
029480.KS,광무
021040.KS,대호특수강
003160.KS,디아이
011930.KS,신성이엔지
019180.KS,티에이치엔
018880.KS,한온시스템
028300.KS,HLB
027710.KS,팜스토리
021820.KS,세원정공
006740.KS,영풍제지
000910.KS,유니온
020120.KS,키다리스튜디오
027970.KS,한국제지
020000.KS,한섬
017800.KS,현대엘리베이터
016580.KS,환인제약
023600.KS,삼보판지
018310.KS,삼목에스폼
003800.KS,에이스침대
014190.KS,원익큐브
013580.KS,계룡건설산업
021050.KS,서원
012750.KS,에스원
015890.KS,태경산업
012700.KS,리드코프
018000.KS,유니슨
025980.KS,아난티
026910.KS,광진실업
017250.KS,인터엠
016590.KS,신대양제지
011690.KS,와이투솔루션
025860.KS,남해화학
018500.KS,동원금속
011300.KS,성안머티리얼스
015750.KS,성우하이텍
020180.KS,대신정보통신
006730.KS,서부T&D
011200.KS,HMM
012610.KS,경인양행
017810.KS,풀무원
017390.KS,서울도시가스
025820.KS,이구산업
025950.KS,동신건설
025900.KS,동화기업
011090.KS,에넥스
007460.KS,에이프로젠
025620.KS,제이준코스메틱
017960.KS,한국카본
025870.KS,신라에스지
025880.KS,케이씨피드
002680.KS,한탑
025550.KS,한국선재
025440.KS,DH오토웨어
025320.KS,시노펙스
024940.KS,PN풍년
024950.KS,삼천리자전거
014100.KS,메디앙스
024840.KS,KBI메탈
024910.KS,경창산업
004780.KS,대륙제관
013120.KS,동원개발
024830.KS,세원물산
024880.KS,케이피에프
025000.KS,KPX케미칼
007980.KS,TP
010580.KS,에스엠벡셀
024120.KS,KB오토시스
017000.KS,신원종합개발
024060.KS,흥구석유
023910.KS,대한약품
001840.KS,이화공영
023900.KS,풍국주정
017650.KS,대림제지
010170.KS,대한광통신
023790.KS,동일스틸럭스
023770.KS,플레이위드
023760.KS,한국캐피탈
005860.KS,한일사료
009440.KS,KC그린홀딩스
008420.KS,문배철강
016880.KS,웅진
012860.KS,모베이스전자
006050.KS,국영지앤엠
023410.KS,유진기업
023440.KS,제이스코홀딩스
006910.KS,보성파워텍
018290.KS,브이티
023160.KS,태광
014790.KS,HL D&I
007310.KS,오뚜기
008500.KS,일정실업
007530.KS,와이엠
010120.KS,엘에스일렉트릭
001000.KS,신라섬유
012620.KS,원일특강
011370.KS,서한
009190.KS,대양금속
000760.KS,이화산업
014820.KS,동원시스템즈
018700.KS,바른손
014470.KS,부방
010140.KS,삼성중공업
009680.KS,모토닉
010690.KS,화신
007720.KS,소노스퀘어
013720.KS,THE CUBE&
011320.KS,유니크
018120.KS,진로발효
009620.KS,삼보산업
005670.KS,푸드웰
007330.KS,푸른저축은행
006140.KS,피제이전자
019010.KS,베뉴지
009780.KS,엠에스씨
000390.KS,삼화페인트공업
009450.KS,경동나비엔
020400.KS,대동금속
014200.KS,광림
005710.KS,대원산업
016600.KS,큐캐피탈
004590.KS,한국가구
016670.KS,디모아
000440.KS,중앙에너비스
012030.KS,DB
005090.KS,SGC에너지
014970.KS,삼륭물산
005750.KS,대림바스
011040.KS,경동제약
008370.KS,원풍
007390.KS,네이처셀
002290.KS,삼일기업공사
019540.KS,일지테크
007770.KS,한일화학
017890.KS,한국알콜
003310.KS,대주산업
019660.KS,글로본
005880.KS,대한해운
017510.KS,세명전기
005870.KS,휴니드테크놀러지스
017550.KS,수산세보틱스
021080.KS,에이티넘인베스트
011170.KS,롯데케미칼
008830.KS,대동기어
001430.KS,세아베스틸지주
008770.KS,호텔신라
014580.KS,태경비케이
013520.KS,화승코퍼레이션
004080.KS,신흥
006060.KS,화승인더스트리
014530.KS,극동유화
002140.KS,고려산업
002230.KS,피에스텍
016090.KS,대현
001620.KS,케이비아이동국실업
017040.KS,광명전기
011390.KS,부산산업
011810.KS,STX
010130.KS,고려아연
009730.KS,이렘
004720.KS,팜젠사이언스
009200.KS,무림페이퍼
001500.KS,현대차증권
008870.KS,금비
008110.KS,대동전자
005820.KS,원림
008490.KS,서흥
014910.KS,성문전자
003580.KS,HLB글로벌
015860.KS,일진홀딩스
014160.KS,대영포장
012280.KS,영화금속
019170.KS,신풍제약
002210.KS,동성제약
016920.KS,카스
012170.KS,아센디오
009420.KS,한올바이오파마
013030.KS,하이록코리아
011330.KS,유니켐
012800.KS,대창
001140.KS,국보
013360.KS,일성건설
013700.KS,까뮤이앤씨
002760.KS,보락
007610.KS,선도전기
004920.KS,씨아이테크
009290.KS,광동제약
011420.KS,갤럭시아에스엠
004270.KS,남성
001940.KS,KISCO홀딩스
009410.KS,태영건설
007280.KS,한국특강
009180.KS,한솔로지스틱스
002170.KS,삼양통상
017670.KS,SK텔레콤
010640.KS,진양폴리우레탄
003650.KS,미창석유공업
004380.KS,삼익THK
002840.KS,미원상사
007860.KS,서연
019550.KS,SBI인베스트먼트
013000.KS,세우글로벌
012330.KS,현대모비스
001390.KS,KG케미칼
009320.KS,아진전자부품
001450.KS,현대해상
005440.KS,현대지에프홀딩스
015760.KS,한국전력공사
007690.KS,국도화학
006280.KS,녹십자
009160.KS,SIMPAC
008600.KS,윌비스
015230.KS,대창단조
007160.KS,사조산업
014130.KS,한익스프레스
008040.KS,사조동아원
009140.KS,경인전자
009580.KS,무림P&P
014990.KS,인디에프
013570.KS,디와이
003610.KS,방림
015590.KS,DKME
014680.KS,한솔케미칼
010820.KS,퍼스텍
019570.KS,플루토스
006040.KS,동원산업
008060.KS,대덕
003680.KS,한성기업
006920.KS,모헨즈
015020.KS,이스타코
011280.KS,태림포장
002310.KS,아세아제지
010660.KS,화천기계
011150.KS,CJ씨푸드
001770.KS,SHD
018470.KS,조일알미늄
005850.KS,에스엘
009970.KS,영원무역홀딩스
012510.KS,더존비즈온
003850.KS,보령
008250.KS,이건산업
012690.KS,모나리자
006370.KS,대구백화점
006980.KS,우성
002920.KS,유성기업
002220.KS,한일철강
002450.KS,삼익악기
002460.KS,HS화성
007340.KS,DN오토모티브
000890.KS,보해양조
001290.KS,상상인증권
003010.KS,혜인
014280.KS,금강공업
009810.KS,플레이그램
008730.KS,율촌화학
009270.KS,신원
004140.KS,동방
002960.KS,한국쉘석유
003000.KS,부광약품
005810.KS,풍산홀딩스
001270.KS,부국증권
012200.KS,계양전기
004710.KS,한솔테크닉스
016610.KS,DB증권
008930.KS,한미사이언스
005500.KS,삼진제약
005490.KS,POSCO홀딩스
002410.KS,범양건영
005690.KS,파미셀
001230.KS,동국홀딩스
006340.KS,대원전선
005950.KS,이수화학
016360.KS,삼성증권
002810.KS,삼영무역
001750.KS,한양증권
011780.KS,금호석유화학
003470.KS,유안타증권
002620.KS,제일파마홀딩스
015260.KS,에이엔피
009460.KS,한창제지
005720.KS,넥센
006660.KS,삼성공조
004490.KS,세방전지
011000.KS,진원생명과학
009310.KS,참엔지니어링
010100.KS,한국무브넥스
005070.KS,코스모신소재
004830.KS,덕성
001720.KS,신영증권
001200.KS,유진증권
003460.KS,유화증권
011700.KS,한신기계공업
005420.KS,코스모화학
000500.KS,가온전선
010950.KS,S-Oil
012450.KS,한화에어로스페이스
011230.KS,삼화전자공업
004020.KS,현대제철
004770.KS,써니전자
004560.KS,현대비앤지스틸
006090.KS,사조오양
003530.KS,한화투자증권
009470.KS,삼화전기
001510.KS,SK증권
010770.KS,평화홀딩스
007110.KS,일신석재
016380.KS,KG스틸
010780.KS,아이에스동서
002360.KS,SH에너지화학
003830.KS,대한화섬
007810.KS,코리아써키트
004170.KS,신세계
010060.KS,OCI홀딩스
000520.KS,삼일제약
006490.KS,인스코비
003120.KS,일성아이에스
000720.KS,현대건설
002710.KS,TCC스틸
003060.KS,에이프로젠바이오로직스
007700.KS,F&F 홀딩스
008700.KS,아남전자
010620.KS,HD현대미포
006360.KS,GS건설
006110.KS,삼아알미늄
006200.KS,한국전자홀딩스
006400.KS,삼성SDI
009150.KS,삼성전기
005960.KS,동부건설
009070.KS,케이씨티시
003070.KS,코오롱글로벌
005180.KS,빙그레
005250.KS,녹십자홀딩스
000480.KS,시알홀딩스
004310.KS,현대약품
003920.KS,남양유업
008350.KS,남선알미늄
003350.KS,한국화장품제조
011760.KS,현대코퍼레이션
006260.KS,LS
001740.KS,SK네트웍스
002100.KS,경농
004870.KS,티웨이홀딩스
007590.KS,동방아그로
004430.KS,송원산업
002780.KS,진흥기업
004090.KS,한국석유공업
000650.KS,천일고속
000430.KS,대원강업
001080.KS,만호제강
004700.KS,조광피혁
004360.KS,세방
008970.KS,KBI동양철관
002880.KS,대유에이텍
001260.KS,남광토건
005680.KS,삼영전자공업
005800.KS,신영와코루
002630.KS,오리엔트바이오
001550.KS,조비
005430.KS,한국공항
004910.KS,조광페인트
003080.KS,SB성보
004690.KS,삼천리
002600.KS,조흥
001570.KS,금양
003960.KS,사조대림
002070.KS,비비안
003570.KS,SNT다이내믹스
004960.KS,한신공영
004370.KS,농심
003720.KS,삼영
004980.KS,성신양회
004970.KS,신라교역
002870.KS,신풍
001630.KS,종근당홀딩스
005740.KS,크라운해태홀딩스
002390.KS,한독
001380.KS,SG글로벌
006120.KS,SK디스커버리
007540.KS,샘표
003280.KS,흥아해운
001250.KS,GS글로벌
002990.KS,금호건설
001470.KS,삼부토건
001820.KS,삼화콘덴서공업
001020.KS,페이퍼코리아
001520.KS,동양
000880.KS,한화
001060.KS,JW중외제약
000670.KS,영풍
001340.KS,PKC
000180.KS,성창기업지주
005110.KS,한창
004450.KS,삼화왕관
000040.KS,KR모터스
002240.KS,고려제강
004100.KS,태양금속공업
002820.KS,SUN&L
004840.KS,DRB동일
002350.KS,넥센타이어
004060.KS,SG세계물산
004000.KS,롯데정밀화학
000020.KS,동화약품
000210.KS,DL
001120.KS,LX인터내셔널
002720.KS,국제약품
003240.KS,태광산업
005030.KS,부산주공
006390.KS,한일현대시멘트
000590.KS,CS홀딩스
000990.KS,DB하이텍
006570.KS,대림통상
000220.KS,유유제약
000860.KS,강남제비스코
003540.KS,대신증권
005940.KS,NH투자증권
006800.KS,미래에셋증권
002700.KS,신일전자
001360.KS,삼성제약
000810.KS,삼성화재해상보험
003230.KS,삼양식품
000370.KS,한화손해보험
008260.KS,NI스틸
000230.KS,일동홀딩스
000490.KS,대동
001800.KS,오리온홀딩스
004540.KS,깨끗한나라
001420.KS,태원물산
002020.KS,코오롱
005930.KS,삼성전자
000300.KS,DH오토넥스
001460.KS,BYC
003620.KS,KG모빌리티
005610.KS,SPC삼립
000540.KS,흥국화재
007570.KS,일양약품
002320.KS,한진
002200.KS,한국수출포장공업
005380.KS,현대자동차
005360.KS,모나미
009830.KS,한화솔루션
002030.KS,아세아
006380.KS,카프로
004990.KS,롯데지주
001070.KS,대한방직
004410.KS,서울식품공업
003560.KS,아이에이치큐
000680.KS,LS네트웍스
001210.KS,금호전기
000140.KS,하이트진로홀딩스
000320.KS,노루홀딩스
000270.KS,기아
004800.KS,효성
001040.KS,CJ
000150.KS,두산
005010.KS,휴스틸
005830.KS,DB손해보험
002900.KS,TYM
003090.KS,대웅
003780.KS,진양산업
003520.KS,영진약품
002380.KS,케이씨씨
005300.KS,롯데칠성음료
003200.KS,일신방직
002790.KS,아모레퍼시픽홀딩스
006220.KS,제주은행
004150.KS,한솔홀딩스
007210.KS,벽산
000400.KS,롯데손해보험
001130.KS,대한제분
001680.KS,대상
003550.KS,LG
000640.KS,동아쏘시오홀딩스
003690.KS,코리안리
000970.KS,한국주철관공업
003300.KS,한일홀딩스
004250.KS,엔피씨
003030.KS,세아제강지주
001440.KS,대한전선
001790.KS,대한제당
000070.KS,삼양홀딩스
002420.KS,세기상사
000240.KS,한국앤컴퍼니
000950.KS,전방
003490.KS,대한항공
001530.KS,디아이동일
000100.KS,유한양행
000120.KS,CJ대한통운
000050.KS,경방
000700.KS,유수홀딩스
003480.KS,한진중공업홀딩스
