종목코드,회사명
377740.KS,바이오노트
448780.KS,마이크로엔엑스
390110.KS,애니메디솔루션
442770.KS,IBKS제21호스팩
417180.KS,핑거스토리
419530.KS,SAMG엔터
102950.KS,아하
311960.KS,인터로이드
446070.KS,유니드비티플러스
168360.KS,펨트론
389470.KS,인벤티지랩
419080.KS,엔젯
084440.KS,유비온
204610.KS,티쓰리
425420.KS,티에프이
372170.KS,윤성에프앤씨
383930.KS,디티앤씨알오
348340.KS,뉴로메카
417500.KS,제이아이테크
108320.KS,LX세미콘
405100.KS,큐알티
417840.KS,저스템
419120.KS,산돌
434190.KS,탈로스
405000.KS,플라즈맵
291810.KS,핀텔
378800.KS,샤페론
419540.KS,비스토스
360070.KS,탑머티리얼
389500.KS,에스비비테크
368970.KS,오에스피
417970.KS,모델솔루션
296640.KS,이노룰스
441270.KS,파인엠텍
432320.KS,KB스타리츠
067370.KS,선바이오
393890.KS,더블유씨피
314140.KS,알피바이오
413300.KS,티엘엔지니어링
394280.KS,오픈엣지테크놀로지
129920.KS,대성하이텍
403550.KS,쏘카
148930.KS,에이치와이티씨
107600.KS,새빗켐
126720.KS,수산인더스트리
368600.KS,아이씨에이치
365340.KS,성일하이텍
397030.KS,에이프릴바이오
341170.KS,퓨쳐메디신
424760.KS,벨로크
328130.KS,루닛
354390.KS,바스칸바이오제약
403870.KS,HPSP
112290.KS,와이씨켐
402030.KS,코난테크놀로지
396270.KS,넥스트칩
412350.KS,레이저쎌
310210.KS,보로노이
377460.KS,위니아에이드
148780.KS,비큐AI
382900.KS,범한퓨얼셀
176590.KS,코나솔
362320.KS,청담글로벌
357430.KS,마스턴프리미어리츠
399720.KS,가온칩스
389260.KS,대명에너지
389140.KS,포바이포
388050.KS,지투파워
413630.KS,씨피시스템
417310.KS,코람코더원리츠
396300.KS,세아메카닉스
366030.KS,공구우먼
388720.KS,유일로보틱스
288980.KS,모아데이타
408920.KS,메쎄이상
376930.KS,노을
146320.KS,비씨엔씨
371950.KS,풍원정밀
330730.KS,스톤브릿지벤처스
365900.KS,브이씨
370090.KS,퓨런티어
251120.KS,바이오에프디엔씨
211050.KS,인카금융서비스
137080.KS,나래나노텍
136410.KS,아셈스
276040.KS,스코넥
377330.KS,이지트로닉스
373220.KS,LG에너지솔루션
179530.KS,애드바이오텍
102370.KS,케이옥션
169670.KS,코스텍시스템
353590.KS,오토앤
200350.KS,아티스트스튜디오
403360.KS,라피치
254160.KS,제이엠멀티
404990.KS,신한서부티엔디리츠
199800.KS,툴젠
396690.KS,미래에셋글로벌리츠
402420.KS,켈스
402340.KS,SK스퀘어
377480.KS,마음AI
361570.KS,알비더블유
400760.KS,NH올원리츠
222160.KS,NPX
290090.KS,트윔
372800.KS,아이티아이즈
311320.KS,지오엘리먼트
357880.KS,SKAI
376300.KS,디어유
389030.KS,지니너스
377300.KS,카카오페이
376180.KS,피코그램
348370.KS,엔켐
377450.KS,리파인
382800.KS,지앤비에스 에코
114840.KS,아이패밀리에스씨
261780.KS,차백신연구소
382480.KS,지아이텍
391710.KS,코닉오토메이션
381970.KS,케이카
376290.KS,씨유테크
159010.KS,아스플로
382840.KS,원준
257720.KS,실리콘투
260970.KS,에스앤디
377220.KS,프롬바이오
099430.KS,바이오플러스
329180.KS,HD현대중공업
395400.KS,SK리츠
273640.KS,와이엠텍
203400.KS,에이비온
388790.KS,라이콤
271940.KS,일진하이솔루스
377190.KS,디앤디플랫폼리츠
308080.KS,바이젠셀
139990.KS,아주스틸
089860.KS,롯데렌탈
099390.KS,브레인즈컴퍼니
315640.KS,딥노이드
372910.KS,한컴라이프케어
058970.KS,엠로
367000.KS,플래티어
376980.KS,원티드랩
259960.KS,크래프톤
195940.KS,HK이노엔
178920.KS,PI첨단소재
323410.KS,카카오뱅크
270660.KS,에브리봇
377030.KS,비트맥스
365270.KS,큐라클
137310.KS,에스디바이오센서
352910.KS,오비고
097520.KS,엠씨넥스
357580.KS,아모센스
318660.KS,타임기술
303530.KS,이노뎁
232680.KS,라온테크
379390.KS,이성씨엔아이
187660.KS,현대ADM
383310.KS,에코프로에이치엔
383800.KS,LX홀딩스
363250.KS,진시스템
276730.KS,한울앤제주
383220.KS,F&F
361670.KS,삼영에스앤씨
252990.KS,샘씨엔에스
352480.KS,씨앤씨인터내셔널
357230.KS,에이치피오
361610.KS,SK아이이테크놀로지
294570.KS,쿠콘
351330.KS,이삭엔지니어링
059270.KS,해성에어로보틱스
333620.KS,엔시스
289220.KS,자이언트스텝
361390.KS,제노코
347700.KS,스피어
302440.KS,SK바이오사이언스
314930.KS,바이오다인
950220.KS,네오이뮨텍
378850.KS,화승알앤에이
356890.KS,싸이버원
334970.KS,프레스티지바이오로직스
247660.KS,나노씨엠에스
338220.KS,뷰노
373200.KS,엑스플러스
340930.KS,유일에너테크
189330.KS,씨이랩
322310.KS,오로스테크놀로지
239890.KS,피엔에이치테크
363260.KS,모비데이즈
262840.KS,아이퀘스트
950210.KS,프레스티지바이오파마
277810.KS,레인보우로보틱스
321820.KS,아티스트컴퍼니
248070.KS,솔루엠
163730.KS,핑거
348030.KS,모비릭스
352700.KS,씨앤투스
086710.KS,선진뷰티사이언스
375500.KS,DL이앤씨
236810.KS,엔비티
368770.KS,파이버프로
257990.KS,나우코스
253610.KS,루트락
365550.KS,ESR켄달스퀘어리츠
369370.KS,블리츠웨이엔터테인먼트
357550.KS,석경에이티
314130.KS,지놈앤컴퍼니
335810.KS,프리시젼바이오
347860.KS,알체라
365590.KS,하이딥
064850.KS,에프앤가이드
356860.KS,티엘비
352940.KS,인바이오
354200.KS,엔젠바이오
317690.KS,퀀타매트릭스
009900.KS,명신산업
352770.KS,셀레스트라
318020.KS,포인트모바일
129890.KS,앱코
265740.KS,엔에프씨
199820.KS,제일일렉트릭
299030.KS,하나기술
244920.KS,에이플러스에셋
340570.KS,티앤엘
348150.KS,고바이오랩
330860.KS,네패스아크
339770.KS,교촌에프앤비
290690.KS,소룩스
348350.KS,위드텍
347000.KS,센코
301300.KS,바이브컴퍼니
122830.KS,원포유
214610.KS,롤링스톤
304840.KS,피플바이오
352820.KS,하이브
348210.KS,넥스틴
053080.KS,케이엔솔
126340.KS,비나텍
359090.KS,씨엔알리서치
323990.KS,박셀바이오
363280.KS,티와이홀딩스
318410.KS,비비씨
355150.KS,코스텍시스
347770.KS,핌스
291650.KS,압타머사이언스
294090.KS,이오플로우
293490.KS,카카오게임즈
347740.KS,피엔케이피부임상연구센타
357120.KS,코람코라이프인프라리츠
332370.KS,아이디피
331920.KS,셀레믹스
950190.KS,고스트스튜디오
337930.KS,젝시믹스
060850.KS,영림원소프트랩
032300.KS,한국파마
348950.KS,제이알글로벌리츠
357780.KS,솔브레인
357250.KS,미래에셋맵스리츠
350520.KS,이지스레지던스리츠
332570.KS,PS일렉트로닉스
101360.KS,에코앤드림
347890.KS,엠투아이
298540.KS,더네이쳐홀딩스
225220.KS,제놀루션
304100.KS,솔트룩스
266470.KS,바이오인프라생명과학
277880.KS,티에스아이
262260.KS,에이프로
334890.KS,이지스밸류플러스리츠
950200.KS,소마젠
290520.KS,신도기연
330350.KS,위더스제약
326030.KS,에스케이바이오팜
169330.KS,엠브레인
229000.KS,젠큐릭스
322970.KS,무진메디
297890.KS,HB솔루션
351320.KS,넥사다이내믹스
298060.KS,에스씨엠생명과학
353190.KS,휴럼
353810.KS,이지바이오
223250.KS,드림씨아이에스
353200.KS,대덕전자
343090.KS,HLB사이언스
198080.KS,캐프
237820.KS,플레이디
092190.KS,서울바이오시스
204270.KS,제이앤티씨
274090.KS,켄코아에어로스페이스
294140.KS,레몬
294630.KS,서남
065370.KS,위세아이텍
344820.KS,케이씨씨글라스
340440.KS,세림B&G
341310.KS,이앤에치
311690.KS,CJ 바이오사이언스
238170.KS,엔에스엠
062970.KS,한국첨단소재
327260.KS,RF머트리얼즈
339950.KS,아이비김영
288330.KS,파라택시스코리아
340360.KS,다보링크
235980.KS,메드팩토
336570.KS,원텍
226330.KS,신테카바이오
322510.KS,제이엘케이
124560.KS,태웅로직스
335870.KS,윙스풋
317860.KS,노드메이슨
302550.KS,리메드
338100.KS,NH프라임리츠
335890.KS,비올
336040.KS,타스컴
250030.KS,진코스텍
336060.KS,웨이버스
337840.KS,유엑스엔
278650.KS,HLB바이오스텝
308170.KS,씨티알모빌리티
321550.KS,티움바이오
297090.KS,씨에스베어링
103840.KS,우양
190650.KS,코리아에셋투자증권
322000.KS,HD현대에너지솔루션
306040.KS,에스제이그룹
216080.KS,제테마
272210.KS,한화시스템
214260.KS,라파스
084850.KS,아이티엠반도체
333430.KS,일승
317400.KS,자이에스앤디
279600.KS,미디어젠
322180.KS,LS티라유텍
333050.KS,모코엠시스
330590.KS,롯데리츠
013890.KS,지누스
331520.KS,밸로프
317530.KS,캐리소프트
331660.KS,한국미라클피플사
272110.KS,케이엔제이
317870.KS,엔바이오니아
318010.KS,팜스빌
336260.KS,두산퓨얼셀
300120.KS,라온피플
336370.KS,솔루스첨단소재
036420.KS,콘텐트리중앙
158430.KS,아톤
234690.KS,녹십자웰빙
332290.KS,누보
331380.KS,포커스에이아이
093510.KS,엔지브이아이
244460.KS,올리패스
317120.KS,라닉스
320000.KS,한울반도체
256150.KS,한독크린텍
149300.KS,아퓨어스
311390.KS,네오크레마
195500.KS,마니커에프앤지
328380.KS,솔트웨어
286750.KS,나노실리칸첨단소재
317830.KS,에스피시스템스
228670.KS,레이
186230.KS,그린플러스
282880.KS,코윈테크
317330.KS,덕산테코피아
318000.KS,KBG
317770.KS,엑스페릭스
148150.KS,세경하이테크
313760.KS,캐리
317850.KS,대모
241840.KS,에이스토리
300080.KS,플리토
234340.KS,헥토파이낸셜
289010.KS,아이스크림에듀
327610.KS,펨토바이오메드
251970.KS,펌텍코리아
312610.KS,에이에프더블류
323280.KS,태성
293780.KS,압타바이오
308100.KS,형지글로벌
305090.KS,마이크로디지탈
322780.KS,코퍼스코리아
321260.KS,프로이천
003670.KS,포스코퓨처엠
253840.KS,수젠텍
307930.KS,컴퍼니케이
319660.KS,피에스케이
319400.KS,현대무벡스
317240.KS,TS트릴리온
279060.KS,이노벡스
125210.KS,아모그린텍
307950.KS,현대오토에버
228760.KS,지노믹트리
099750.KS,이지케어텍
100790.KS,미래에셋벤처투자
192650.KS,드림텍
192080.KS,더블유게임즈
247540.KS,에코프로비엠
299660.KS,셀리드
316140.KS,우리금융지주
278280.KS,천보
246960.KS,SCL사이언스
104620.KS,노랑풍선
053580.KS,웹케시
311060.KS,엘에이티
298690.KS,에어부산
238200.KS,비피도
263050.KS,유틸렉스
290550.KS,디케이티
307180.KS,아이엘
310200.KS,애니플러스
308700.KS,테크엔
310870.KS,디와이씨
309930.KS,오하임앤컴퍼니
299900.KS,위지윅스튜디오
307750.KS,국전약품
298380.KS,에이비엘바이오
100590.KS,머큐리
110020.KS,전진바이오팜
270870.KS,뉴트리
307870.KS,비투엔
302430.KS,이노메트리
290120.KS,DH오토리드
128540.KS,에코캡
307280.KS,원바이오젠
900340.KS,윙입푸드
111710.KS,남화산업
179290.KS,엠아이텍
117730.KS,티로보틱스
290660.KS,네오펙트
207490.KS,에이펙스인텍
246710.KS,티앤알바이오팹
288490.KS,나라소프트
267850.KS,아시아나IDT
263690.KS,디알젬
217330.KS,싸이토젠
027360.KS,아주IB투자
208340.KS,파멥신
263020.KS,디케이앤디
227100.KS,퀀텀온
194700.KS,노바렉스
290670.KS,대보마그네틱
285490.KS,노바텍
290650.KS,엘앤씨바이오
306620.KS,네온테크
108490.KS,로보티즈
153710.KS,옵티팜
288620.KS,에스퓨얼셀
306200.KS,세아제강
293580.KS,나우IB
290720.KS,푸드나무
293480.KS,하나제약
110790.KS,크리스에프앤씨
299170.KS,더블유에스아이
219750.KS,한국비티비
010400.KS,우진아이엔에스
291230.KS,엔피
257370.KS,피엔티엠에스
140610.KS,엔솔바이오사이언스
197140.KS,디지캡
303030.KS,지니틱스
290740.KS,액트로
173130.KS,오파스넷
089970.KS,브이엠
086820.KS,바이오솔루션
302920.KS,더콘텐츠온
293940.KS,신한알파리츠
110990.KS,디아이티
275630.KS,에스에스알
300720.KS,한일시멘트
290270.KS,휴네시온
091810.KS,티웨이항공
286940.KS,롯데이노베이트
080720.KS,한국유니온제약
204020.KS,그리티
297570.KS,알로이스
226950.KS,올릭스
298050.KS,HS효성첨단소재
258050.KS,테크트랜스
298040.KS,효성중공업
298020.KS,효성티앤씨
298000.KS,효성화학
175250.KS,아이큐어
289080.KS,SV인베스트먼트
276240.KS,엘리비젼
299480.KS,지앤이헬스케어
088260.KS,이리츠코크렙
245620.KS,EDGC
294870.KS,HDC현대산업개발
284620.KS,카이노스메드
037030.KS,파워넷
016790.KS,현대사료
258830.KS,세종메디칼
122310.KS,제노레이
217910.KS,에스제이켐
950170.KS,JTC
253590.KS,네오셈
263700.KS,케어랩스
018250.KS,애경산업
277070.KS,린드먼아시아
226400.KS,오스테오닉
183490.KS,엔지켐생명과학
006620.KS,동구바이오제약
154030.KS,아시아종묘
260660.KS,알리코제약
068270.KS,셀트리온
042000.KS,카페24
219420.KS,링크제니시스
267790.KS,배럴
255220.KS,SG
264660.KS,씨앤지하이테크
